museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
SAMUS,EP,b57216,,w,EPw,99.45,1+,44.41427853,1,1.58,66,69,67.42,59.88,52.54,45.27,39.31,36.06,31.5,28.62,105,24,,
SAMUS,EP,b3152,,w,EPw,100,1+,41.88,1,1.65,66.89,68,66.35,59.76,51.02,44.71,39,32.97,30.13,27.18,113,22,,
SAMUS,EP,b22927,,w,EPw,104.48,1+,41.83575804,1,1.69,68.2,70,68.31,61.83,54.98,47.08,42.13,37.21,32.98,28.8,116,25,,
SAMUS,EP,b26072,,w,EPw,106,1+,41.29245283,1,1.77,71.1,73,71.23,62.54,53.86,46.02,41.08,36.84,32.47,28.59,124,26,,
SAMUS,EP,b4391,,w,EPw,101,1+,42.63366337,1,1.8,65.34,68,66.2,58.5,52.1,44.18,38.73,33.57,30.03,25.97,112,22,,
SAMUS,EP,b32289,,w,EPw,107,1+,42.41121495,1,2.08,70.9,72,69.92,63.66,53.84,46.05,40.58,35,31.95,27.42,129,27,,
SAMUS,EP,b27317,,w,EPw,105,1+,43.53333333,1,3.18,70.59,72,68.82,59.54,50.36,41.58,37.05,33.51,30.57,27.31,116,25,,
Healesville,OBP,b40006,1746,c,OBPc,102,1+,,1,-3.45,71.42,73.55,77,70.14,60.96,54.05,42.81,38.04,34.27,30.88,97,24,10.02,7.15
TMAG,OBP,b9191,,c,OBPc,112,1+,47.16964286,1,-3.03,74.79,77.47,80.5,73.8,63.38,54.54,48.42,43.71,38.595,33.48,114,27,,
Healesville,OBP,b81769,2738,c,OBPc,109,1+,45.99082569,1,-1.96,74.74,75.04,77,68.45,58.89,51.45,45.22,39.93,35.25,31.95,91,28,,
DPIPWE,OBP,,,c,OBPc,105.02,,,1,-1.76,71.47,74.24,76,68.82,60.36,52.49,47.2,38.16,33.62,28.98,108,25,10.48,6.24
DPIPWE,OBP,13505,155,c,OBPc,100,1+,41.81,1,-1.73,73.11,74.27,76,69.38,60.79,52.39,47.1,43.46,38.09,#VALUE!,110,29,10.48,7.01
DPIPWE,OBP,17065,,c,OBPc,102,1+,42.37254902,1,-1.71,71.34,73.29,75,66.78,58.53,52.59,44.6,38.13,34.92,30.53,105,28,10.63,6.69
DPIPWE,OBP,13543,154,c,OBPc,103,1+,40.89320388,1,-1.57,76.69,78.43,80,71.44,63.73,56.22,50.85,44.2,39.64,36.77,,27,11.16,6.71
DPIPWE,OBP,,,c,OBPc,100,,,1,-1.45,71.67,73.55,75,69.06,60.94,52.73,45.99,38.33,33.56,29.66,107,28,11.35,6.32
Healesville,OBP,b30992,,c,OBPc,111,1+,44.90990991,1,-1.42,75.26,75.58,77,68.5,59.84,52.94,46.31,40.88,36.04,33.32,,29,11.27,6.31
DPIPWE,OBP,17744,927,c,OBPc,105,1+,43.71428571,1,-1.13,75.97,78.87,80,70.85,63.29,54.94,49.38,43.74,40.03,35.86,109,28,,
DPIPWE,OBP,,,c,OBPc,108.41,,,1,-1.12,76.84,78.88,80,71.21,62.95,54.46,49.19,43.89,35.14,29.85,102,28,10.13,6.55
Healesville,OBP,b20020,1496,c,OBPc,110,1+,46.97272727,1,-1.11,77.33,78.89,80,71.59,60.89,52.04,45.18,40.37,36.22,32.37,110,30,11.55,6.73
Healesville,OBP,b30888,1763,c,OBPc,103,1+,47.22330097,1,-1.1,70.58,73.9,75,67.65,57.28,48.98,42.7,36.95,33.96,29.5,95,26,10.84,6.56
DPIPWE,OBP,,762,c,OBPc,103,1+,42.21359223,1,-1.06,71.83,74.94,76,69.32,61.39,52.79,47.29,41.2,37.27,33.77,102,29,11.06,6.4
Healesville,OBP,a40063,753,c,OBPc,106,1+,44.28301887,1,-1.05,72.64,74.95,76,67.82,59.83,51.45,46.31,40.11,34.58,31.05,,,11.78,6.75
Healesville,OBP,b30919,1776,c,OBPc,105.41,1+,42.88018215,1,-1.05,73.42,74.95,76,67.93,58.8,51.1,45.6,40.98,36.64,33.06,100,29,11.28,6.81
DPIPWE,OBP,17620,837,c,OBPc,101.5,1+,41.18226601,1,-1.02,72.35,75.98,77,65.88,60.47,52.95,45.85,40.86,34.96,32.86,,27,,
TMAG,OBP,b9175,633,c,OBPc,110,1+,47.27272727,1,-1.02,74.77,76.98,78,71.2,63.31,55.42,48.4,44.6,40.3,36.9,112,28,,
DPIPWE,OBP,17714,,c,OBPc,104.3,1+,40.89165868,1,-1,72.29,75,76,69.32,61.62,53.44,47.12,42.67,38.17,32.88,112,29,12.25,6.41
TMAG,OBP,b9173,,c,OBPc,111,1+,44.94545455,1,-1,74.1,76,77,67.7,59.5,53.3,46.5,43.1,37.7,34.7,104,31,,
Healesville,OBP,b10747,1344,c,OBPc,110,1+,46.48181818,1,-0.96,71.62,74.04,75,65.12,56.89,52.07,43.87,40.16,34.23,26.89,107,31,,
Healesville,OBP,a41351,802,c,OBPc,106,1+,44.56603774,1,-0.94,72.93,75.06,76,68.03,57.97,50.77,42.13,37.14,32.72,29.21,104,29.5,11.56,6.82
Healesville,OBP,970704,176,c,OBPc,104,1+,,1,-0.91,74.41,78.09,79,70.47,61.14,54.35,48.27,42.5,38.61,32.78,106,28,,
Healesville,OBP,a91808,1272,c,OBPc,102,1+,,1,-0.85,70.64,72.15,73,66.27,58.37,51.83,45.8,40.1,35.16,30.98,96,28,11.26,7.2
Healesville,OBP,b20836,1558,c,OBPc,109,1+,,1,-0.81,78,77.19,78,70.46,62.11,54.725,47.34,41.85,38.23,31.65,106,30,11.88,7.37
Healesville,OBP,b20780,1538,c,OBPc,112,1+,45.03571429,1,-0.78,77.54,81.22,82,71.36,62.32,54.66,48.74,43.03,39.23,35.11,108,30,11.16,6.83
DPIPWE,OBP,13635,768,c,OBPc,101.21,1+,44.17547673,1,-0.76,74.19,76.24,77,68.97,62.43,54.49,47.09,43.89,39.26,34.94,,28,,
Healesville,OBP,b50294,1600,c,OBPc,104,1+,44.64423077,1,-0.74,71.85,75.26,76,68.21,58.31,50.35,45.65,41.01,36.8,32.83,103,28,9.99,6.8
Healesville,OBP,b30957,1794,c,OBPc,106,1+,45.28301887,1,-0.73,74.35,77.27,78,71.51,61.72,53.02,47.02,43.53,38.29,33.47,100,28,10.93,6.87
Healesville,OBP,b10755,1400,c,OBPc,106,1+,43.67924528,1,-0.6,74.1,77.4,78,69.7,61.88,54.58,48.34,43.5,38.52,34.46,112,29,10.07,7.17
DPIPWE,OBP,9828,84,c,OBPc,105,1+,42.64761905,1,-0.57,67.86,69.43,70,62.29,53.55,47.94,41.52,35.16,30.5,25.77,110,28,11.34,6.71
TMAG,OBP,b9177,,c,OBPc,109,1+,44.68224299,1,-0.56,71.1,74.44,75,68.33,59.72,52.82,46.77,41.77,37.17,33.64,105,27,,
Healesville,OBP,b10752,1350,c,OBPc,112,1+,47.04464286,1,-0.46,78.79,81.54,82,74.26,63.05,56.01,49.81,44.22,40.4,36.36,103,32,11.7,7.07
Healesville,OBP,a51298,878,c,OBPc,108,1+,43.75925926,1,-0.43,71.19,78.57,79,69.9,61.31,52.72,44.24,40.33,36.43,33.66,90,27,11.4,6.88
DPIPWE,OBP,,636,c,OBPc,106,1+,39.90566038,1,-0.4,75.1,78.6,79,64.2,61.57,53.32,46.29,42.29,38.22,35.25,108,28,10.02,6.3
TMAG,OBP,b9192,631,c,OBPc,108,1+,44.77777778,1,-0.37,72.96,75.63,76,68.45,60.9,52.94,44.98,40.08,35.44,31.83,,27,,
Healesville,OBP,b70015,2274,c,OBPc,114,1+,44.03508772,1,-0.27,78.51,81.73,82,74.15,64.57,57.69,49.97,44.48,38.99,35.51,104,31,,
DPIPWE,OBP,13839,236,c,OBPc,102,1+,41.84313725,1,0,73.95,78,78,68.22,60.34,54.02,49.52,43.59,39,36.49,102,29,10.64,6.71
Healesville,OBP,a01327,478,c,OBPc,105,1+,,1,0,74.43,77,77,67.32,58.82,50.88,45.51,41.09,36.3,#VALUE!,,29,,
