museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
AM,TP,o33450,,w,TPw,109,1+,45.41666667,1,0,67.31,73,73,63.16,53.02,45,40.74,34.72,30.41,25.85,108,27,11.41,6.94
Harvard,TP,mcz154445,,w,TPw,110.73,1+,43.05066378,1,0,69.5,74,74,65.17,54.06,47.34,41.7,36.58,32.57,28.02,110,30,10.62,6.97
VICMUS,TP,r13321,,w,TPw,105,1+,44.84761905,1,0.69,68.66,70,69.31,60.87,52.66,44.77,38.96,35.24,31.07,27.98,110,23,,
AM,TP,o28419,,w,TPw,108,1+,44.78703704,1,0.77,70.74,73,72.23,62.35,54.24,46.8,40.03,34.83,30.45,23.83,104,29,11.57,7.14
AM,TP,o33083,,w,TPw,112,1+,44.32142857,1,0.87,69.7,72,71.13,62.6,52.15,45.44,39.44,33.63,28.75,24.45,104,26,10.22,7.63
AM,TP,o34885,,w,TPw,110,1+,43.61818182,1,0.89,74,74,73.11,64.85,56.6,49.21,41.77,36.13,29.99,25.83,107,30,10.04,6.65
AM,TP,o28417,,w,TPw,106,1+,42.54716981,1,1.03,69.62,72,70.97,62.24,53.56,46.6,41.07,35.35,30.54,25.82,95,27,,
AMNH,TP,amnh623539,,w,TPw,109.57,1+,45.21310578,1,1.06,75.78,77,75.94,66.14,56.81,48.69,42.13,36.4,31.2,25.52,109,27,,
AM,TP,o33335,,w,TPw,108,1+,43.28703704,1,1.15,69.74,72,70.85,61.66,53.2,44.99,40.51,34.93,30.41,27.06,,25,11.62,7.45
AM,TP,o35230,,w,TPw,111,1+,44.99099099,1,1.17,76,76,74.83,63.38,54.92,45.84,40.8,34.3,30.25,26.96,110,29,11.24,7.38
AM,TP,o17847,,w,TPw,106,1+,43.33962264,1,1.37,68.55,71,69.63,60.64,50.28,43.33,37.91,32.64,29.19,25.16,101,23,10.37,7.01
AM,TP,o28418,,w,TPw,110,1+,45.27272727,1,1.38,69.5,71,69.62,60.06,50.71,42.73,37.08,30.96,26.2,21.36,100,23,11.39,7.54
AM,TP,o32428,,w,TPw,105.91,1+,45.01935606,1,1.41,70.99,72,70.59,63.04,53.94,46.16,40.71,36.07,31.86,28.03,,25,9.82,6.96
AM,TP,o33339,,w,TPw,106.3,1+,43.72530574,1,1.41,64.3,67,65.59,57.35,48.28,41.42,35.44,29.88,23.68,19.78,101,25,11.31,7.38
AM,TP,o42019,,w,TPw,109,1+,55.89908257,1,1.42,72.06,75,73.58,65.16,56.34,50.31,43.83,38.53,32.8,26.54,105,24,10.38,7.25
AM,TP,o17848,,w,TPw,101,1+,43.97029703,1,1.48,68.2,70,68.52,60.37,53.19,45.53,40.17,34.94,30.71,26.82,93,25,,7.44
AM,TP,o6851,,w,TPw,103,1+,43.81553398,1,1.5,67.91,69,67.5,60.04,51.8,45.18,38.93,35.07,30.88,26.55,101,22,10.53,6.83
VICMUS,TP,b17853,,w,TPw,111,1+,45.06306306,1,1.78,71.28,73,71.22,62.11,53.66,45.37,39.82,35.11,31.93,26.8,111,22,,
AMNH,TP,amnh294932,,w,TPw,107.19,1+,44.57505364,1,1.88,72.4,76,74.12,65.72,57.56,50.19,44.9,38.55,32.44,27.08,94,26,,
AM,TP,o21247,,w,TPw,106,1+,43.86792453,1,1.88,69.93,71,69.12,60.19,50.85,43.53,37.82,33,28.26,24.91,96,24,10.04,7.09
AM,TP,o7,,w,TPw,109,1+,43.82568807,1,1.99,72,72,70.01,59.71,51.09,43.28,38.01,32.48,28.43,24.46,103,25,10.19,6.88
AM,TP,o28420,,w,TPw,111,1+,43.47747748,1,2.03,71.65,74,71.97,63.03,55.01,47.34,41.23,35.61,31.36,27.39,104,25,12.09,7.35
AM,TP,o35184,,w,TPw,110,1+,43.58181818,1,2.03,72.2,73,70.97,59.92,52.21,44.47,38.2,33.88,27.78,25.4,110,26,10.9,7.4
AMNH,TP,amnh294931,,w,TPw,108.53,1+,45.78457569,1,2.05,74.3,77,74.95,65.68,56.29,50.13,44.36,39.82,32.41,28.75,101,24,,
Harvard,TP,mcz74286,,w,TPw,101.64,1+,43.17197954,1,2.1,70.81,72,69.9,60.57,52.87,46.35,40.55,35.6,31.2,27.62,95,24,,
VICMUS,TP,r8775,,w,TPw,104,1+,42.99038462,1,2.13,69.33,70,67.87,59.45,50.17,43.62,37.28,32.29,27.74,24.7,94,22,,
AM,TP,o22763,,w,TPw,103.87,1+,43.76624627,1,2.19,65.71,68,65.81,57.26,47.39,38.5,32.49,26.98,23,17.91,104,23,10.48,7.06
Harvard,TP,mcz135401,,w,TPw,112.5,1+,45.06666667,1,2.43,78.2,80,77.57,67.14,57.18,48.89,42.56,36.44,33.52,59.22,109,29,,
VICMUS,TP,b6058,,w,TPw,108,1+,43,1,2.85,69.72,72,69.15,60.65,53.47,47.43,43.88,39.66,35.5,31.55,100,25,,
Harvard,TP,mcz91487,,w,TPw,111.59,1+,41.46428891,1,3,77.3,79,76,67.96,58.82,50.79,43.66,39.61,35.74,30.59,110,24,,
AM,TP,o28416,,w,TPw,114,1+,43.69298246,1,3.48,67.62,74,70.52,60.75,51.09,44.98,39.35,32.42,28.26,24.99,105,27,11,7.08
