id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN07-114,2010,Female,A,52,0,2,2,2.02577420373189,CN06-147
CN07-115,2007,Male,J,28,1,0,2,-0.28657404810018,CN06-104
CN07-115,2008,Male,A,44,0,0,0,1.2549914531212,CN06-104
CN07-116,2007,Female,J,19,0,0,0,-1.15370464253721,CN06-187
CN07-117,2007,Male,J,31,0,0,0,0.00246948337882945,CN06-187
CN07-119,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-222
CN07-120,2007,Female,J,28,0,0,0,-0.28657404810018,CN06-180
CN07-121,2007,Female,J,26,0,0,0,-0.479269735752853,CN07-031
CN07-122,2007,Female,J,25,0,0,0,-0.575617579579189,CN06-050
CN07-123,2007,Female,J,23,1,0,2,-0.768313267231862,CN06-182
CN07-123,2008,Female,A,36,0,2,2,0.484208702510512,CN06-182
CN07-124,2007,Female,J,29,1,0,2,-0.190226204273843,CN06-059
CN07-124,2008,Female,A,39,0,8,8,0.773252233989521,CN06-059
CN07-125,2007,Female,J,24,1,0,2,-0.671965423405526,CN06-059
CN07-125,2008,Female,A,31,1,6,8,0.00246948337882945,CN06-059
CN07-125,2009,Female,A,42,0,6,6,1.06229576546853,CN06-059
CN07-126,2007,Male,J,28,0,0,0,-0.28657404810018,CN06-104
CN07-127,2007,Female,J,25,1,0,2,-0.575617579579189,CN06-104
CN07-127,2008,Female,A,44,0,0,0,1.2549914531212,CN06-104
CN07-128,2007,Male,A,42,0,3,3,1.06229576546853,CN06-014
CN07-130,2007,Male,J,23,0,0,0,-0.768313267231862,CN06-164
CN07-131,2007,Female,J,28,1,0,2,-0.28657404810018,CN06-050
CN07-131,2008,Female,A,31,0,4,4,0.00246948337882945,CN06-050
CN07-132,2007,Male,J,26,0,0,0,-0.479269735752853,CN06-050
CN07-133,2007,Male,J,30,0,0,0,-0.093878360447507,CN06-182
CN07-134,2007,Male,J,19,0,0,0,-1.15370464253721,CN06-182
CN07-135,2007,Male,J,28,0,0,0,-0.28657404810018,CN06-050
CN07-136,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-059
