"","Sex","BloodNumber","Site","BCestimate","angles","Season1","log_T_vol","t.bodyratio"
"29","1","TKN-84","A",-0.0232149897562465,0.815028337516811,-1.83690953073357e-16,4.42605085791003,0.00359062460807179
"30","1","TKN-20","A",-0.0593790805538568,0.815028337516811,-1.83690953073357e-16,3.1328321957578,0.000173572865311156
"31","1","TKN-64","A",-0.000427838115332868,0.76235363884839,-1.83690953073357e-16,4.95715395373478,0.0115884797938234
"32","1","TKN-51","A",-0.0092435218153617,0.75113193087052,-1.83690953073357e-16,3.44887387208356,0.000381762075257054
"33","1","TKN-51","A",-0.121226213325243,-0.485059846195196,6.12303176911189e-17,4.52554460489027,0.00515018466164692
"34","1","TKN-27","A",-0.101688748640312,0.815028337516811,-1.83690953073357e-16,4.09134104614988,0.00158083335870543
"35","1","TKN-127","A",0.0831206969081661,-0.815028337516811,6.12303176911189e-17,1.38813448317431,3.06977850684449e-06
"36","1","TKN-127","A",0.104957145152103,0.728027801156985,-1.83690953073357e-16,4.25982560262412,0.00208847482971081
"37","1","TKN-112","A",0.146267527820968,0.78411980657671,-1.83690953073357e-16,3.96196960728738,0.00106182312609107
"38","1","WIL-105","B",-0.0421853796869089,0.514792801509831,1,3.91475814425901,0.000972830817092619
"39","1","TKN-104","A",-0.0344707921384944,0.76235363884839,-1.83690953073357e-16,3.8718637838271,0.00112295587353152
"40","1","TKN-99","A",-0.0155701121718439,0.773350677709729,-1.83690953073357e-16,3.66099832950983,0.000681334355770889
"41","1","TKN-99","A",-0.338724937654678,-0.558243722026865,6.12303176911189e-17,4.61962428838837,0.00924771241838328
"42","1","TKN-114","A",-0.0144387168343447,0.815028337516811,-1.83690953073357e-16,3.25789668792221,0.000331926835340974
"43","1","WIL-111","B",-0.108875591618514,0.613856141822612,-1.83690953073357e-16,4.01755001907155,0.00159316166255937
"44","1","WIL-80","B",0.0324218858812189,-0.870285241030155,6.12303176911189e-17,5.17118456542119,0.0159370442853254
"45","1","TKN-102","A",0.102153366416885,0.704065522134806,-1.83690953073357e-16,4.889873245378,0.00916419483280339
"46","1","WIL-95","B",0.109240248202965,-0.679273338897293,6.12303176911189e-17,4.17938842751669,0.00181029787656197
"47","1","WIL-94","B",-0.00805154415479403,-0.613856141822612,6.12303176911189e-17,4.44661180609528,0.00318124142703551
"48","1","TKN-96","A",-0.276429830991691,0.679273338897293,1,4.47465496243779,0.00688288973069484
"49","1","TKN-130","A",0.0581829499791031,0.824854774859424,-1.83690953073357e-16,5.07878947560387,0.014229409715401
"50","1","TKN-160","A",0.110135082883335,0.704065522134806,-1.83690953073357e-16,2.58749854251448,5.65887797287878e-05
"51","1","TKN-160","A",0.241298126043404,0.691771364614222,1,2.67282758157733,5.49784926674214e-05
"52","1","TKN-137","A",-0.12326462387406,-0.485059846195196,6.12303176911189e-17,3.16618136565877,0.000209352390106722
"53","1","TKN-159","A",0.467169691865593,0.679273338897293,1,3.10577146457797,0.000149197152693174
"54","1","WIL-127","B",-0.0275585080844166,0.514792801509831,1,4.01702604100221,0.00143188583457467
"55","1","WIL-132","B",-0.0201903663607895,0.454755135556106,1,4.35874687673478,0.0030735442697922
"56","1","WIL-123","B",0.142794431342639,-0.824854774859425,-1,4.16425748971435,0.0016752364941782
"57","1","TKN-147","A",0.00960694639145654,0.640593178698175,1,4.07685600532526,0.00160359364006433
"58","1","TKN-172","A",0.0205248201310333,-0.600214280548368,6.12303176911189e-17,4.89513318550331,0.00991568649844595
"59","1","TKN-10","A",-0.121711240620128,0.982222856682841,1,5.19451180704664,0.023492272054316
"60","1","WIL-40","B",-0.0693826718944854,0.640593178698175,1,3.63804579696214,0.000537256636813153
"61","1","WIL-40","B",-0.015099425824019,-0.861701759948068,6.12303176911189e-17,4.15245900912951,0.0017012632287149
"62","1","WIL-12","B",0.0381592531916846,0.902030236986071,-1.83690953073357e-16,4.12761094123693,0.00160649936988774
"63","1","WIL-35","B",0.102271890735046,-0.76235363884839,-1,4.74298215207157,0.00757107697694715
"64","1","WIL-35","B",-0.159195705642604,0.878612245057148,-1.83690953073357e-16,5.2121248232963,0.027492790603103
"65","1","TKN-53","A",0.132263733818667,0.96702772479132,1,4.18531430642164,0.00153444685699545
"66","1","TKN-10","A",-0.166479980114075,0.824854774859424,1,5.12197540527578,0.0209464005694049
"67","1","TKN-31","A",-0.00898749858605896,-0.600214280548368,6.12303176911189e-17,3.85679344723443,0.000920506522954731
"110","0","TKN-01","A",0.242050965429183,0.985300562686109,1,4.28050265556495,0.00314166621131638
"210","0","TKN-66","A",-0.112120126560966,0.824854774859424,1,4.28201206288819,0.00352174248671876
"310","0","TKN-66","A",-0.0416031206414321,-0.613856141822612,6.12303176911189e-17,4.31420253006327,0.00355578664307606
"410","0","TKN-66","A",-0.141855558522017,-0.834438123713847,6.12303176911189e-17,4.84620504948009,0.0128171885854492
"510","0","TKN-14","A",0.0139162779769701,-0.627317096874294,-1,1.25257887796052,2.58022532421221e-06
"610","0","TKN-14","A",0.00918082303849266,0.815028337516811,-1.83690953073357e-16,0.920653690702623,1.15188466022246e-06
"710","0","TKN-42","A",0.0746760063660263,0.971256999465831,1,4.07627452769572,0.00172809271033884
"810","0","TKN-42","A",0.054628638655696,-0.640593178698175,-1,2.87910662468466,0.000109435738379566
"99","0","TKN-42","A",-0.00378509038111363,0.76235363884839,-1.83690953073357e-16,2.86896256039127,0.00011284546457872
"101","0","TKN-43","A",-0.011660790328671,0.76235363884839,-1.83690953073357e-16,3.29218613788879,0.000307888030447733
"111","0","TKN-43","A",-0.125028960432013,-0.78411980657671,6.12303176911189e-17,5.04368834941186,0.0190707640506958
"121","0","TKN-08","A",0.0293841255463749,0.76235363884839,-1.83690953073357e-16,4.01876841781487,0.00169178319628504
"131","0","TKN-08","A",-0.114137841348042,-0.843775559823186,6.12303176911189e-17,5.11995325368273,0.0251939740186181
"141","0","WIL-65","B",-0.248019882442725,0.558243722026865,1,4.74000767406991,0.0101774475905116
"151","0","WIL-31","B",0.13627673493209,0.653680474772006,1,2.49272686420671,3.9649664247149e-05
